date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:11:25	280098/280098	---MCZ	200	added ('OK')	application/javascript	etag:W/%2244622-1a0143e4f2e%22	https://dns.devnagri.com/dota.js?1787638570622	C:/My%20Web%20Sites/Prestige/dns.devnagri.com/dota1023.js	(from https://www.prestigeconstructions.com/hi/news/2023/april)
12:11:25	280098/280098	---MCZ	200	added ('OK')	application/javascript	etag:W/%2244622-1a0143e4f2e%22	https://dns.devnagri.com/dota.js?1787581263456	C:/My%20Web%20Sites/Prestige/dns.devnagri.com/dotad7b8.js	(from https://www.prestigeconstructions.com/hi/news/2023/march)
12:11:25	5584/5584	---MCZ	200	added ('OK')	text/css	etag:W/%220834b6be56ecee5840cbcc80fce88ae9%22	https://d1t2fddy6amcvs.cloudfront.net/css/pgchat.min.css?ver=1787565371	C:/My%20Web%20Sites/Prestige/d1t2fddy6amcvs.cloudfront.net/css/pgchat.minac1f.css	(from https://www.prestigeconstructions.com/hi/news/2023/february)
12:11:26	280098/280098	---MCZ	200	added ('OK')	application/javascript	etag:W/%2244622-1a0143e4f2e%22	https://dns.devnagri.com/dota.js?1787565373637	C:/My%20Web%20Sites/Prestige/dns.devnagri.com/dota2038.js	(from https://www.prestigeconstructions.com/hi/news/2023/february)
12:11:26	280098/280098	---MCZ	200	added ('OK')	application/javascript	etag:W/%2244622-1a0143e4f2e%22	https://dns.devnagri.com/dota.js?1787581262293	C:/My%20Web%20Sites/Prestige/dns.devnagri.com/dotaaf29.js	(from https://www.prestigeconstructions.com/hi/news/2023/january)
12:11:27	5584/5584	---MCZ	200	added ('OK')	text/css	etag:W/%220834b6be56ecee5840cbcc80fce88ae9%22	https://d1t2fddy6amcvs.cloudfront.net/css/pgchat.min.css?ver=1787581256	C:/My%20Web%20Sites/Prestige/d1t2fddy6amcvs.cloudfront.net/css/pgchat.min6a6d.css	(from https://www.prestigeconstructions.com/hi/news/2022/december)
12:11:27	5439/5439	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2030%20Jun%202026%2016:19:34%20GMT	https://www.prestigeconstructions.com/assets/dynamic-js/a51eb107f00fe731a1a5ca603bf974aa.js	C:/My%20Web%20Sites/Prestige/www.prestigeconstructions.com/assets/dynamic-js/a51eb107f00fe731a1a5ca603bf974aa.js	(from https://www.prestigeconstructions.com/hi/news/2022/december)
12:11:27	280098/280098	---MCZ	200	added ('OK')	application/javascript	etag:W/%2244622-1a0143e4f2e%22	https://dns.devnagri.com/dota.js?1787581257948	C:/My%20Web%20Sites/Prestige/dns.devnagri.com/dotafd46.js	(from https://www.prestigeconstructions.com/hi/news/2022/december)
12:11:27	5584/5584	---MCZ	200	added ('OK')	text/css	etag:W/%220834b6be56ecee5840cbcc80fce88ae9%22	https://d1t2fddy6amcvs.cloudfront.net/css/pgchat.min.css?ver=1787554665	C:/My%20Web%20Sites/Prestige/d1t2fddy6amcvs.cloudfront.net/css/pgchat.minee3a.css	(from https://www.prestigeconstructions.com/hi/news/2022/november)
12:11:27	9963/9963	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2001%20Jul%202026%2021:15:09%20GMT	https://www.prestigeconstructions.com/assets/dynamic-js/dc97837ba823a9523680fa32b1a37432.js	C:/My%20Web%20Sites/Prestige/www.prestigeconstructions.com/assets/dynamic-js/dc97837ba823a9523680fa32b1a37432.js	(from https://www.prestigeconstructions.com/hi/news/2022/november)
12:11:28	280098/280098	---MCZ	200	added ('OK')	application/javascript	etag:W/%2244622-1a0143e4f2e%22	https://dns.devnagri.com/dota.js?1787554666799	C:/My%20Web%20Sites/Prestige/dns.devnagri.com/dota608e.js	(from https://www.prestigeconstructions.com/hi/news/2022/november)
12:11:28	5584/5584	---MCZ	200	added ('OK')	text/css	etag:W/%220834b6be56ecee5840cbcc80fce88ae9%22	https://d1t2fddy6amcvs.cloudfront.net/css/pgchat.min.css?ver=1787581258	C:/My%20Web%20Sites/Prestige/d1t2fddy6amcvs.cloudfront.net/css/pgchat.min77cf.css	(from https://www.prestigeconstructions.com/hi/news/2022/october)
12:11:28	8773/8773	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2006%20Jul%202026%2022:43:03%20GMT	https://www.prestigeconstructions.com/assets/dynamic-js/13177b1c49fd3707e7590cc4a58b29cc.js	C:/My%20Web%20Sites/Prestige/www.prestigeconstructions.com/assets/dynamic-js/13177b1c49fd3707e7590cc4a58b29cc.js	(from https://www.prestigeconstructions.com/hi/news/2022/october)
12:11:29	280098/280098	---MCZ	200	added ('OK')	application/javascript	etag:W/%2244622-1a0143e4f2e%22	https://dns.devnagri.com/dota.js?1787581260730	C:/My%20Web%20Sites/Prestige/dns.devnagri.com/dota6600.js	(from https://www.prestigeconstructions.com/hi/news/2022/october)
12:11:29	5584/5584	---MCZ	200	added ('OK')	text/css	etag:W/%220834b6be56ecee5840cbcc80fce88ae9%22	https://d1t2fddy6amcvs.cloudfront.net/css/pgchat.min.css?ver=1787581259	C:/My%20Web%20Sites/Prestige/d1t2fddy6amcvs.cloudfront.net/css/pgchat.min6181.css	(from https://www.prestigeconstructions.com/hi/news/2022/september)
